sRNA	mRNA	Score	Class	OrdinalRank	Program
isar1	sll0772	0.57698	0	122	sRNARFTarget
isar1	sll0921	0.57686	0	123	sRNARFTarget
isar1	sll1763	0.57684	0	124	sRNARFTarget
psrr1	sll1787	0.57682	0	125	sRNARFTarget
psrr1	sll0408	0.5766	0	126	sRNARFTarget
isar1	slr1829	0.57645	0	127	sRNARFTarget
isar1	slr0172	0.57644	0	128	sRNARFTarget
isar1	sll0237	0.57635	0	129	sRNARFTarget
isar1	slr1588	0.57629	0	130	sRNARFTarget
isar1	slr1694	0.57621	0	131	sRNARFTarget
isar1	ssl0020	0.57621	1	132	sRNARFTarget
isar1	slr0794	0.5762	0	133	sRNARFTarget
isar1	sll2007	0.57612	0	134	sRNARFTarget
isar1	slr1740	0.57603	0	135	sRNARFTarget
isar1	slr0031	0.57592	0	136	sRNARFTarget
isar1	slr0212	0.57578	0	137	sRNARFTarget
isar1	sll1360	0.57575	0	138	sRNARFTarget
isar1	slr1418	0.57574	0	139	sRNARFTarget
isar1	sll1165	0.5757	0	140	sRNARFTarget
isar1	slr0506	0.57568	0	141	sRNARFTarget
isar1	slr1702	0.57568	0	142	sRNARFTarget
isar1	sll1572	0.57566	0	143	sRNARFTarget
isar1	slr0348	0.57565	0	144	sRNARFTarget
psrr1	sll0103	0.57561	0	145	sRNARFTarget
isar1	slr0845	0.57552	0	146	sRNARFTarget
isar1	sll1280	0.57529	0	147	sRNARFTarget
isar1	slr1686	0.57525	0	148	sRNARFTarget
isar1	sll0430	0.57516	0	149	sRNARFTarget
isar1	sll0544	0.57513	0	150	sRNARFTarget
isar1	slr0838	0.57511	0	151	sRNARFTarget
psrr1	slr1991	0.5751	0	152	sRNARFTarget
isar1	sll0898	0.57508	0	153	sRNARFTarget
isar1	slr0702	0.57506	0	154	sRNARFTarget
psrr1	sll2001	0.57505	0	155	sRNARFTarget
isar1	sll2001	0.57501	0	156	sRNARFTarget
isar1	ssr0390	0.57491	0	157	sRNARFTarget
psrr1	slr0467	0.57489	0	158	sRNARFTarget
isar1	sll0830	0.57486	0	159	sRNARFTarget
isar1	slr0941	0.57479	0	160	sRNARFTarget
isar1	slr0551	0.57468	0	161	sRNARFTarget
isar1	sll0593	0.57456	0	162	sRNARFTarget
isar1	slr2004	0.57454	0	163	sRNARFTarget
isar1	sll0547	0.57441	0	164	sRNARFTarget
isar1	sll0586	0.57441	0	165	sRNARFTarget
isar1	sll0487	0.5744	0	166	sRNARFTarget
psrr1	slr1044	0.57434	0	167	sRNARFTarget
isar1	sll1564	0.57433	0	168	sRNARFTarget
isar1	sll0058	0.57429	0	169	sRNARFTarget
isar1	slr0817	0.57425	0	170	sRNARFTarget
isar1	sll1296	0.57422	0	171	sRNARFTarget
psrr1	slr1390	0.57414	0	172	sRNARFTarget
psrr1	sll0899	0.57413	0	173	sRNARFTarget
isar1	sll0980	0.5741	0	174	sRNARFTarget
isar1	slr0724	0.57409	0	175	sRNARFTarget
psrr1	slr0328	0.57409	0	176	sRNARFTarget
psrr1	sll0154	0.57407	0	177	sRNARFTarget
isar1	slr1104	0.57404	0	178	sRNARFTarget
psrr1	sll1498	0.57396	0	179	sRNARFTarget
isar1	slr1277	0.57392	0	180	sRNARFTarget
isar1	slr1753	0.57388	0	181	sRNARFTarget
isar1	slr0434	0.57384	0	182	sRNARFTarget
isar1	slr1093	0.57383	0	183	sRNARFTarget
psrr1	ssl1263	0.57383	0	184	sRNARFTarget
isar1	ssr1256	0.57376	0	185	sRNARFTarget
psrr1	sll1894	0.57376	0	186	sRNARFTarget
psrr1	slr0244	0.57373	0	187	sRNARFTarget
isar1	slr0813	0.57371	0	188	sRNARFTarget
isar1	ssr0332	0.57361	0	189	sRNARFTarget
isar1	slr1133	0.57357	0	190	sRNARFTarget
isar1	sll1284	0.57353	0	191	sRNARFTarget
psrr1	sll1430	0.5735	0	192	sRNARFTarget
psrr1	slr0093	0.57347	0	193	sRNARFTarget
isar1	slr0938	0.57345	0	194	sRNARFTarget
isar1	sll0765	0.57337	0	195	sRNARFTarget
isar1	sll1938	0.57333	0	196	sRNARFTarget
isar1	sll0282	0.57331	0	197	sRNARFTarget
isar1	slr2104	0.57327	0	198	sRNARFTarget
isar1	sll1941	0.5732	0	199	sRNARFTarget
isar1	slr1969	0.57302	0	200	sRNARFTarget
isar1	slr0108	0.57293	0	201	sRNARFTarget
isar1	sll1399	0.57291	0	202	sRNARFTarget
isar1	slr0473	0.57291	0	203	sRNARFTarget
psrr1	slr1533	0.5729	0	204	sRNARFTarget
psrr1	slr1940	0.57282	0	205	sRNARFTarget
psrr1	slr1351	0.57278	0	206	sRNARFTarget
psrr1	slr1628	0.57275	0	207	sRNARFTarget
isar1	sll0263	0.57271	0	208	sRNARFTarget
isar1	slr0607	0.57271	0	209	sRNARFTarget
psrr1	slr1656	0.57269	0	210	sRNARFTarget
isar1	ssl2384	0.57265	0	211	sRNARFTarget
isar1	slr1742	0.57258	0	212	sRNARFTarget
psrr1	slr0606	0.57258	0	213	sRNARFTarget
isar1	slr0261	0.57255	0	214	sRNARFTarget
isar1	sll0069	0.57252	0	215	sRNARFTarget
isar1	slr1772	0.57249	0	216	sRNARFTarget
isar1	sll1872	0.57246	0	217	sRNARFTarget
isar1	sll1054	0.57242	0	218	sRNARFTarget
isar1	sll0657	0.5724	0	219	sRNARFTarget
psrr1	ssr3383	0.57239	0	220	sRNARFTarget
isar1	sll0356	0.57238	0	221	sRNARFTarget
isar1	sll0737	0.57234	0	222	sRNARFTarget
isar1	slr0679	0.57232	0	223	sRNARFTarget
isar1	sll1747	0.57228	0	224	sRNARFTarget
isar1	slr0319	0.57227	0	225	sRNARFTarget
psrr1	sll0036	0.57227	0	226	sRNARFTarget
psrr1	sll1110	0.57218	0	227	sRNARFTarget
isar1	slr0964	0.57217	0	228	sRNARFTarget
isar1	slr1353	0.57217	0	229	sRNARFTarget
psrr1	sll1545	0.57212	0	230	sRNARFTarget
psrr1	sll1089	0.57203	0	231	sRNARFTarget
psrr1	sll1360	0.57192	0	232	sRNARFTarget
isar1	sll0895	0.57189	0	233	sRNARFTarget
psrr1	sll0683	0.57188	0	234	sRNARFTarget
isar1	slr1977	0.57187	0	235	sRNARFTarget
psrr1	slr1030	0.57184	0	236	sRNARFTarget
isar1	slr1250	0.57181	0	237	sRNARFTarget
isar1	sll1056	0.57165	0	238	sRNARFTarget
isar1	slr0816	0.57159	0	239	sRNARFTarget
psrr1	sll0764	0.57158	0	240	sRNARFTarget
isar1	sll0031	0.57155	0	241	sRNARFTarget
isar1	sll0556	0.57155	0	242	sRNARFTarget
psrr1	slr0321	0.57155	0	243	sRNARFTarget
isar1	sll0513	0.57154	0	244	sRNARFTarget
psrr1	sll1744	0.57154	0	245	sRNARFTarget
isar1	slr0719	0.57149	0	246	sRNARFTarget
isar1	slr0086	0.57144	0	247	sRNARFTarget
isar1	sll1019	0.57141	0	248	sRNARFTarget
isar1	slr1876	0.57139	0	249	sRNARFTarget
psrr1	sll0902	0.57137	0	250	sRNARFTarget
isar1	slr0904	0.57131	0	251	sRNARFTarget
isar1	sll1443	0.57129	0	252	sRNARFTarget
psrr1	sll0639	0.57124	0	253	sRNARFTarget
isar1	slr0496	0.57121	0	254	sRNARFTarget
isar1	sll1939	0.57117	0	255	sRNARFTarget
isar1	slr1367	0.57114	0	256	sRNARFTarget
isar1	slr1615	0.57114	0	257	sRNARFTarget
isar1	slr1993	0.57114	0	258	sRNARFTarget
isar1	ssr2803	0.57114	0	259	sRNARFTarget
isar1	sll1098	0.57113	0	260	sRNARFTarget
isar1	slr2015	0.57113	0	261	sRNARFTarget
psrr1	slr0042	0.57112	0	262	sRNARFTarget
isar1	sll0787	0.57107	0	263	sRNARFTarget
psrr1	sll0204	0.57103	0	264	sRNARFTarget
isar1	slr0747	0.57097	0	265	sRNARFTarget
isar1	sll1818	0.57092	0	266	sRNARFTarget
isar1	sll1277	0.57089	0	267	sRNARFTarget
isar1	slr1747	0.57086	0	268	sRNARFTarget
isar1	slr0453	0.57081	0	269	sRNARFTarget
psrr1	sll1676	0.57081	0	270	sRNARFTarget
isar1	sll1540	0.57077	0	271	sRNARFTarget
isar1	slr0356	0.57075	0	272	sRNARFTarget
isar1	slr0750	0.57074	1	273	sRNARFTarget
psrr1	slr1159	0.57074	0	274	sRNARFTarget
isar1	sll1900	0.57072	0	275	sRNARFTarget
isar1	slr0315	0.5707	0	276	sRNARFTarget
isar1	slr1546	0.57068	0	277	sRNARFTarget
isar1	sll0558	0.57066	0	278	sRNARFTarget
psrr1	sll0797	0.5706	0	279	sRNARFTarget
psrr1	slr0925	0.57059	0	280	sRNARFTarget
isar1	sll2009	0.57054	0	281	sRNARFTarget
isar1	slr0962	0.57051	0	282	sRNARFTarget
isar1	sll0296	0.57049	0	283	sRNARFTarget
isar1	sll1151	0.57037	0	284	sRNARFTarget
isar1	slr0644	0.57037	0	285	sRNARFTarget
isar1	sll0577	0.57034	0	286	sRNARFTarget
isar1	sll0410	0.57033	0	287	sRNARFTarget
isar1	sll0920	0.57032	0	288	sRNARFTarget
isar1	slr0698	0.5703	0	289	sRNARFTarget
isar1	slr1908	0.57028	0	290	sRNARFTarget
isar1	sll1994	0.57022	0	291	sRNARFTarget
isar1	sll1294	0.57015	0	292	sRNARFTarget
isar1	slr1573	0.57012	0	293	sRNARFTarget
isar1	slr2070	0.57011	0	294	sRNARFTarget
isar1	sll0497	0.57007	0	295	sRNARFTarget
isar1	sll0518	0.57006	0	296	sRNARFTarget
isar1	slr0930	0.57005	0	297	sRNARFTarget
isar1	sll1040	0.57004	0	298	sRNARFTarget
isar1	sll1363	0.57003	0	299	sRNARFTarget
isar1	slr1603	0.57	0	300	sRNARFTarget
isar1	sll1910	0.56997	0	301	sRNARFTarget
isar1	slr1378	0.56995	0	302	sRNARFTarget
psrr1	slr1521	0.56989	0	303	sRNARFTarget
isar1	slr1414	0.56988	0	304	sRNARFTarget
isar1	sll0398	0.56987	0	305	sRNARFTarget
isar1	slr1534	0.56984	0	306	sRNARFTarget
isar1	sll1325	0.56982	0	307	sRNARFTarget
isar1	sll0415	0.5698	0	308	sRNARFTarget
isar1	sll0295	0.56979	0	309	sRNARFTarget
isar1	sll1369	0.56979	0	310	sRNARFTarget
psrr1	slr1704	0.56978	0	311	sRNARFTarget
psrr1	sll1294	0.56977	0	312	sRNARFTarget
isar1	sll0886	0.56975	0	313	sRNARFTarget
isar1	smr0003	0.56974	0	314	sRNARFTarget
psrr1	sll0861	0.56972	0	315	sRNARFTarget
isar1	slr1826	0.56971	0	316	sRNARFTarget
isar1	sll0096	0.5697	0	317	sRNARFTarget
isar1	slr1584	0.5696	0	318	sRNARFTarget
isar1	slr0298	0.56959	0	319	sRNARFTarget
psrr1	slr0897	0.56958	0	320	sRNARFTarget
isar1	slr2041	0.56957	0	321	sRNARFTarget
isar1	slr0502	0.56955	0	322	sRNARFTarget
isar1	sll1077	0.56953	0	323	sRNARFTarget
isar1	slr1222	0.56949	0	324	sRNARFTarget
isar1	sll0436	0.56947	0	325	sRNARFTarget
isar1	sll1586	0.56947	0	326	sRNARFTarget
isar1	slr0666	0.56944	0	327	sRNARFTarget
isar1	slr1179	0.56943	0	328	sRNARFTarget
isar1	slr1771	0.56939	0	329	sRNARFTarget
psrr1	ssl1498	0.56934	0	330	sRNARFTarget
isar1	sll0325	0.56931	0	331	sRNARFTarget
isar1	slr1731	0.56928	0	332	sRNARFTarget
psrr1	slr1519	0.56924	0	333	sRNARFTarget
psrr1	ssl0546	0.56924	0	334	sRNARFTarget
isar1	slr0756	0.56917	0	335	sRNARFTarget
isar1	slr1253	0.56917	0	336	sRNARFTarget
isar1	sll0575	0.56915	0	337	sRNARFTarget
isar1	sll0623	0.56913	0	338	sRNARFTarget
isar1	slr1624	0.56913	0	339	sRNARFTarget
isar1	ssr0657	0.56913	0	340	sRNARFTarget
psrr1	sll0350	0.56912	0	341	sRNARFTarget
isar1	sll1849	0.56911	0	342	sRNARFTarget
psrr1	slr0161	0.56907	0	343	sRNARFTarget
isar1	sll0424	0.56906	0	344	sRNARFTarget
isar1	slr1530	0.56905	0	345	sRNARFTarget
psrr1	slr0240	0.56899	0	346	sRNARFTarget
isar1	slr1290	0.56893	0	347	sRNARFTarget
isar1	slr1225	0.5689	0	348	sRNARFTarget
isar1	slr1919	0.56881	0	349	sRNARFTarget
psrr1	slr0989	0.56876	0	350	sRNARFTarget
isar1	sll0680	0.56873	0	351	sRNARFTarget
isar1	slr0322	0.56872	0	352	sRNARFTarget
isar1	sll1330	0.56871	0	353	sRNARFTarget
isar1	sll0149	0.56869	0	354	sRNARFTarget
psrr1	sll1981	0.56861	0	355	sRNARFTarget
isar1	slr1515	0.56855	0	356	sRNARFTarget
isar1	sll0103	0.56853	0	357	sRNARFTarget
isar1	slr1759	0.56849	0	358	sRNARFTarget
isar1	slr1462	0.56848	0	359	sRNARFTarget
psrr1	sll0412	0.56848	0	360	sRNARFTarget
isar1	slr1461	0.56846	0	361	sRNARFTarget
isar1	sll0923	0.56841	0	362	sRNARFTarget
isar1	sll1541	0.56841	0	363	sRNARFTarget
isar1	sll1581	0.5684	0	364	sRNARFTarget
isar1	slr0936	0.5684	0	365	sRNARFTarget
isar1	slr0089	0.56839	0	366	sRNARFTarget
psrr1	slr1604	0.56837	0	367	sRNARFTarget
isar1	sll1058	0.56834	0	368	sRNARFTarget
psrr1	sll1326	0.56834	0	369	sRNARFTarget
isar1	sll1459	0.56831	0	370	sRNARFTarget
isar1	slr1675	0.56831	0	371	sRNARFTarget
isar1	sll1902	0.5682	0	372	sRNARFTarget
psrr1	sll0144	0.5682	0	373	sRNARFTarget
isar1	sll0506	0.56817	0	374	sRNARFTarget
isar1	slr0018	0.56814	0	375	sRNARFTarget
isar1	sll1807	0.56813	0	376	sRNARFTarget
isar1	slr0599	0.56813	0	377	sRNARFTarget
isar1	sll1888	0.56794	0	378	sRNARFTarget
isar1	slr0360	0.56789	0	379	sRNARFTarget
isar1	sll1553	0.56784	0	380	sRNARFTarget
psrr1	ssr0102	0.56783	0	381	sRNARFTarget
isar1	sll1180	0.56782	0	382	sRNARFTarget
isar1	sll1425	0.5678	0	383	sRNARFTarget
isar1	slr0063	0.56779	0	384	sRNARFTarget
isar1	slr1128	0.56779	0	385	sRNARFTarget
psrr1	sll1818	0.56778	0	386	sRNARFTarget
isar1	slr1880	0.56776	0	387	sRNARFTarget
psrr1	sll0202	0.56762	0	388	sRNARFTarget
isar1	sll1017	0.56759	0	389	sRNARFTarget
isar1	slr0586	0.56753	0	390	sRNARFTarget
isar1	sll1967	0.56751	0	391	sRNARFTarget
isar1	slr1403	0.56751	0	392	sRNARFTarget
isar1	slr1926	0.56751	0	393	sRNARFTarget
psrr1	sll1618	0.56746	0	394	sRNARFTarget
isar1	sll0321	0.56743	0	395	sRNARFTarget
isar1	sll0495	0.56742	0	396	sRNARFTarget
isar1	sll1143	0.56742	0	397	sRNARFTarget
isar1	slr1084	0.56741	0	398	sRNARFTarget
isar1	sll0041	0.56736	0	399	sRNARFTarget
isar1	slr0342	0.56734	0	400	sRNARFTarget
isar1	slr1493	0.56734	0	401	sRNARFTarget
isar1	sll1463	0.56732	0	402	sRNARFTarget
psrr1	sll1228	0.56732	0	403	sRNARFTarget
isar1	sll1414	0.56731	0	404	sRNARFTarget
psrr1	sll0723	0.56724	0	405	sRNARFTarget
isar1	slr0192	0.56714	0	406	sRNARFTarget
isar1	slr0677	0.56703	0	407	sRNARFTarget
isar1	slr2105	0.56703	0	408	sRNARFTarget
isar1	sll0723	0.567	0	409	sRNARFTarget
isar1	slr1293	0.56697	0	410	sRNARFTarget
isar1	sll1525	0.56696	0	411	sRNARFTarget
isar1	slr0825	0.56696	0	412	sRNARFTarget
isar1	sll1036	0.56695	0	413	sRNARFTarget
psrr1	sll0487	0.56695	0	414	sRNARFTarget
psrr1	slr1840	0.5669	0	415	sRNARFTarget
isar1	slr0484	0.56689	0	416	sRNARFTarget
isar1	slr0338	0.56687	0	417	sRNARFTarget
isar1	slr1950	0.56687	0	418	sRNARFTarget
isar1	slr0354	0.56684	0	419	sRNARFTarget
isar1	sll1072	0.5668	0	420	sRNARFTarget
isar1	slr1143	0.56679	0	421	sRNARFTarget
isar1	slr1887	0.5667	0	422	sRNARFTarget
isar1	sll0378	0.56668	0	423	sRNARFTarget
isar1	slr0442	0.56667	0	424	sRNARFTarget
isar1	slr1281	0.56667	0	425	sRNARFTarget
isar1	slr0404	0.56666	0	426	sRNARFTarget
isar1	slr0618	0.56665	0	427	sRNARFTarget
isar1	sll0614	0.56662	0	428	sRNARFTarget
isar1	sll1535	0.56659	0	429	sRNARFTarget
isar1	sll0217	0.56657	0	430	sRNARFTarget
isar1	sll0727	0.56657	0	431	sRNARFTarget
isar1	sll0755	0.56656	0	432	sRNARFTarget
isar1	sll1220	0.56654	0	433	sRNARFTarget
isar1	slr2031	0.56653	0	434	sRNARFTarget
isar1	sll1865	0.56652	0	435	sRNARFTarget
psrr1	sll0759	0.56652	0	436	sRNARFTarget
psrr1	sll1217	0.56652	0	437	sRNARFTarget
isar1	slr0326	0.5665	0	438	sRNARFTarget
isar1	slr1593	0.56644	0	439	sRNARFTarget
isar1	slr0359	0.5664	0	440	sRNARFTarget
isar1	slr1444	0.5664	0	441	sRNARFTarget
isar1	sll1426	0.56631	0	442	sRNARFTarget
isar1	sll0550	0.56629	0	443	sRNARFTarget
isar1	slr1097	0.56627	0	444	sRNARFTarget
isar1	sll1452	0.56626	0	445	sRNARFTarget
isar1	slr1228	0.56626	0	446	sRNARFTarget
isar1	slr0790	0.56623	0	447	sRNARFTarget
psrr1	slr1289	0.56617	0	448	sRNARFTarget
isar1	sll1968	0.56616	0	449	sRNARFTarget
isar1	sll1738	0.56612	0	450	sRNARFTarget
isar1	sll0661	0.56611	0	451	sRNARFTarget
isar1	slr0066	0.56611	0	452	sRNARFTarget
isar1	slr0637	0.56608	0	453	sRNARFTarget
isar1	sll0481	0.56605	0	454	sRNARFTarget
isar1	sll1489	0.56602	0	455	sRNARFTarget
isar1	slr0116	0.56602	0	456	sRNARFTarget
isar1	sll0994	0.56599	0	457	sRNARFTarget
isar1	sll0502	0.56597	0	458	sRNARFTarget
isar1	sll1579	0.56597	0	459	sRNARFTarget
isar1	slr0619	0.56594	0	460	sRNARFTarget
psrr1	slr0146	0.56592	0	461	sRNARFTarget
isar1	sll0554	0.56591	0	462	sRNARFTarget
psrr1	slr1726	0.56587	0	463	sRNARFTarget
isar1	slr0378	0.56586	0	464	sRNARFTarget
isar1	slr1255	0.56582	0	465	sRNARFTarget
psrr1	slr1322	0.56582	0	466	sRNARFTarget
isar1	sll1584	0.56579	0	467	sRNARFTarget
isar1	slr2098	0.56579	0	468	sRNARFTarget
isar1	slr1834	0.56578	1	469	sRNARFTarget
psrr1	sll0896	0.56578	0	470	sRNARFTarget
psrr1	slr1531	0.56576	0	471	sRNARFTarget
isar1	slr0965	0.56573	0	472	sRNARFTarget
isar1	slr0191	0.5657	0	473	sRNARFTarget
isar1	slr0609	0.56563	0	474	sRNARFTarget
psrr1	sll0362	0.56555	0	475	sRNARFTarget
isar1	slr1397	0.56551	0	476	sRNARFTarget
isar1	slr1719	0.56544	0	477	sRNARFTarget
isar1	slr0749	0.56542	0	478	sRNARFTarget
isar1	sll1496	0.56538	0	479	sRNARFTarget
isar1	sll1198	0.56537	0	480	sRNARFTarget
isar1	sll1725	0.56537	0	481	sRNARFTarget
psrr1	slr1356	0.56536	0	482	sRNARFTarget
isar1	sll0156	0.56532	0	483	sRNARFTarget
isar1	slr0536	0.56531	0	484	sRNARFTarget
isar1	ssl2148	0.5653	0	485	sRNARFTarget
psrr1	slr1129	0.56529	0	486	sRNARFTarget
isar1	slr1673	0.56525	0	487	sRNARFTarget
isar1	sll1641	0.56524	0	488	sRNARFTarget
isar1	sll0821	0.56522	0	489	sRNARFTarget
isar1	sll0489	0.56518	0	490	sRNARFTarget
isar1	sll1481	0.56517	0	491	sRNARFTarget
psrr1	sll0290	0.56517	0	492	sRNARFTarget
isar1	sll0837	0.56514	0	493	sRNARFTarget
isar1	sll1469	0.56512	0	494	sRNARFTarget
isar1	slr1557	0.56511	0	495	sRNARFTarget
isar1	slr1251	0.56505	0	496	sRNARFTarget
isar1	sll0656	0.56502	0	497	sRNARFTarget
isar1	slr0357	0.56502	0	498	sRNARFTarget
isar1	slr0398	0.56501	0	499	sRNARFTarget
isar1	sll1752	0.565	0	500	sRNARFTarget
psrr1	sll0595	0.565	0	501	sRNARFTarget
psrr1	sll0656	0.56499	0	502	sRNARFTarget
psrr1	sll1275	0.56497	0	503	sRNARFTarget
isar1	slr1220	0.56495	0	504	sRNARFTarget
isar1	slr1687	0.56494	0	505	sRNARFTarget
isar1	sll0210	0.56493	0	506	sRNARFTarget
isar1	slr1099	0.56489	0	507	sRNARFTarget
isar1	slr2052	0.56488	0	508	sRNARFTarget
isar1	sll0990	0.56487	0	509	sRNARFTarget
isar1	slr1991	0.56487	0	510	sRNARFTarget
psrr1	slr0536	0.56487	0	511	sRNARFTarget
isar1	slr2073	0.56486	0	512	sRNARFTarget
