sRNA	mRNA	sRNARFTarget_Score	Class
gcvb	pm_rs05850	0.51078	0
gcvb	pm_rs07285	0.51074	0
gcvb	pm_rs09505	0.51066	0
gcvb	metq	0.51059	1
gcvb	pm_rs01990	0.51055	0
gcvb	pm_rs07500	0.51032	0
gcvb	pm_rs07295	0.51015	0
gcvb	pm_rs06095	0.51014	0
gcvb	pm_rs07860	0.50967	0
gcvb	leus	0.50964	0
gcvb	pm0501	0.50948	0
gcvb	pm_rs09230	0.50939	0
gcvb	pm_rs06330	0.50907	0
gcvb	pm_rs03010	0.50896	0
gcvb	pm_rs09235	0.50895	0
gcvb	rpme	0.50893	0
gcvb	pm_rs05935	0.50891	0
gcvb	pm_rs06780	0.5089	0
gcvb	pm_rs07705	0.50877	0
gcvb	rplu	0.50875	0
gcvb	pm_rs01030	0.50872	0
gcvb	pm_rs01440	0.50839	0
gcvb	pm_rs04055	0.50839	0
gcvb	pm_rs03855	0.50836	0
gcvb	pm_rs00770	0.50832	0
gcvb	pm_rs07595	0.50827	0
gcvb	pm_rs09300	0.50825	0
gcvb	murq	0.50814	0
gcvb	pm_rs08860	0.50806	0
gcvb	pm_rs08135	0.50787	0
gcvb	pm_rs09895	0.50756	0
gcvb	pm_rs05840	0.50726	0
gcvb	rpmj	0.50723	0
gcvb	pm_rs05545	0.50696	0
gcvb	pm_rs09955	0.50667	0
gcvb	hisg	0.50658	0
gcvb	pm_rs02980	0.50648	0
gcvb	pm_rs09520	0.50646	0
gcvb	pm_rs09420	0.50644	0
gcvb	pm_rs02655	0.50631	0
gcvb	pm_rs03135	0.5062	1
gcvb	pm_rs04625	0.50601	0
gcvb	pm_rs00640	0.50595	0
gcvb	pm_rs03065	0.50575	0
gcvb	pm0812	0.50574	0
gcvb	pm_rs06250	0.50566	0
gcvb	pm_rs01830	0.50542	0
gcvb	pm_rs06175	0.50536	0
gcvb	pm_rs00200	0.50525	0
gcvb	pm0805	0.50496	0
gcvb	pm_rs06575	0.50488	0
gcvb	pm_rs04110	0.50446	0
gcvb	pm_rs02900	0.50444	0
gcvb	pm_rs03100	0.50436	0
gcvb	pm_rs07695	0.5041	0
gcvb	pm_rs05895	0.50383	0
gcvb	pm_rs06420	0.5038	0
gcvb	pm_rs01270	0.50368	0
gcvb	pm_rs02520	0.50359	0
gcvb	pm_rs02585	0.50357	0
gcvb	pm_rs09165	0.50338	0
gcvb	pm0480	0.50332	0
gcvb	pm_rs09065	0.5033	0
gcvb	pm_rs03635	0.50329	0
gcvb	pm_rs04425	0.50323	0
gcvb	isph	0.50279	0
gcvb	pm_rs00655	0.50277	0
gcvb	pm_rs01720	0.50271	0
gcvb	pm_rs08880	0.50264	0
gcvb	pm_rs03940	0.50263	0
gcvb	pm_rs07220	0.50257	0
gcvb	pm_rs03390	0.50219	0
gcvb	pm_rs08900	0.50209	0
gcvb	pm_rs02595	0.50201	0
gcvb	ilvh	0.50197	0
gcvb	pm_rs07890	0.50173	0
gcvb	pm_rs10070	0.5017	0
gcvb	pm_rs05095	0.50169	0
gcvb	pm_rs07930	0.50157	0
gcvb	pm_rs09380	0.50153	0
gcvb	pm_rs09490	0.50153	0
gcvb	pm_rs10195	0.50129	0
gcvb	tata	0.50125	0
gcvb	murd	0.501	0
gcvb	pm_rs00015	0.50091	0
gcvb	pm_rs10245	0.50076	0
gcvb	pm_rs01005	0.50067	0
gcvb	pm_rs08890	0.5006	0
gcvb	pm_rs07645	0.50021	0
gcvb	pm_rs02575	0.50019	0
gcvb	pm_rs03680	0.49994	0
gcvb	rlud	0.49989	0
gcvb	pm_rs08485	0.49986	0
gcvb	pm_rs03085	0.4998	0
gcvb	pm_rs08145	0.49979	0
gcvb	upp	0.49979	0
gcvb	pm_rs01905	0.49971	0
gcvb	pm_rs09685	0.49968	0
gcvb	pm_rs03775	0.49956	0
gcvb	pm_rs01195	0.49945	0
gcvb	pm_rs03025	0.49936	0
gcvb	pm_rs06625	0.49929	0
gcvb	pm_rs07435	0.49924	0
gcvb	pm_rs00615	0.49914	0
gcvb	pm_rs04655	0.49898	0
gcvb	pm_rs08480	0.4989	0
gcvb	dnak	0.49881	0
gcvb	pm_rs01090	0.49881	0
gcvb	pm_rs02035	0.4988	0
gcvb	pm_rs01810	0.49876	0
gcvb	rihb	0.49875	0
gcvb	pm_rs07825	0.49874	0
gcvb	pm_rs04595	0.49868	0
gcvb	pm_rs03505	0.49853	0
gcvb	pm_rs09465	0.49844	0
gcvb	pm_rs09565	0.49842	0
gcvb	pm_rs02720	0.49837	0
gcvb	pm_rs00030	0.49832	0
gcvb	pm_rs09700	0.49826	0
gcvb	pm_rs03170	0.4981	0
gcvb	pm_rs07110	0.4981	0
gcvb	pm_rs00285	0.49803	0
gcvb	panf	0.49795	0
gcvb	pm_rs05200	0.49785	0
gcvb	pm_rs00155	0.49776	0
gcvb	pm_rs09185	0.49775	0
gcvb	pm_rs08265	0.49758	0
gcvb	pm_rs06705	0.49753	0
gcvb	pm_rs07330	0.49752	0
gcvb	pm_rs06630	0.49751	0
gcvb	pm_rs02280	0.49741	0
gcvb	znuc	0.49737	0
gcvb	pm_rs01330	0.49736	0
gcvb	pm_rs05455	0.4972	0
gcvb	pm_rs04330	0.49705	0
gcvb	pm_rs10225	0.497	0
gcvb	pm_rs00045	0.4968	0
gcvb	pm_rs06735	0.49679	0
gcvb	pm_rs05870	0.49673	0
gcvb	pm_rs09215	0.49668	0
gcvb	pote	0.49668	0
gcvb	pm_rs04540	0.49667	0
gcvb	pm_rs05285	0.49666	0
gcvb	pm_rs09285	0.49666	0
gcvb	prfa	0.4966	0
gcvb	pm_rs06530	0.49654	0
gcvb	mure	0.49652	0
gcvb	pm_rs03755	0.49647	0
gcvb	pm_rs01095	0.49639	0
gcvb	pm_rs00460	0.49638	0
gcvb	pm_rs05605	0.49635	0
gcvb	pm_rs08835	0.49635	0
gcvb	pm_rs08295	0.49626	0
gcvb	ppnk	0.49625	0
gcvb	pm_rs04870	0.4962	0
gcvb	pm_rs09060	0.49619	0
gcvb	pm_rs01390	0.49605	0
gcvb	pm_rs09585	0.49601	0
gcvb	pm_rs10390	0.49598	0
gcvb	pm_rs08665	0.49588	0
gcvb	pm_rs05030	0.49586	0
gcvb	pm_rs07710	0.49586	0
gcvb	pm_rs08225	0.4958	0
gcvb	pm_rs10125	0.49574	0
gcvb	pm_rs00165	0.49573	0
gcvb	pm_rs02175	0.49565	0
gcvb	pm_rs07870	0.49563	0
gcvb	pm_rs05885	0.49559	0
gcvb	pm_rs10075	0.49557	0
gcvb	obge	0.49544	0
gcvb	pm_rs01450	0.49543	0
gcvb	pm_rs05090	0.49531	0
gcvb	pm1934	0.49529	0
gcvb	pm_rs02470	0.4952	0
gcvb	pm_rs05260	0.49508	0
gcvb	pm_rs08470	0.49497	0
gcvb	pm_rs05410	0.49489	0
gcvb	pm_rs05555	0.49487	0
gcvb	pm_rs04455	0.49481	0
gcvb	pm_rs05295	0.49463	0
gcvb	pm_rs07935	0.49459	0
gcvb	pm_rs03650	0.49456	0
gcvb	pm_rs09615	0.49447	0
gcvb	usha	0.49446	0
gcvb	pm_rs05765	0.49438	0
gcvb	pm_rs04300	0.49434	0
gcvb	pm_rs03600	0.49428	0
gcvb	pm_rs07345	0.49426	0
gcvb	pm_rs08450	0.49421	0
gcvb	pm_rs01675	0.49416	0
gcvb	pm_rs03270	0.49415	0
gcvb	pm_rs09595	0.49409	0
gcvb	pm_rs03625	0.49404	0
gcvb	pm_rs07205	0.49385	0
gcvb	pm_rs04515	0.4938	0
gcvb	pm_rs02045	0.49375	0
gcvb	pm_rs00570	0.49374	0
gcvb	pm_rs03435	0.49364	0
gcvb	pm_rs01505	0.49361	0
gcvb	pm_rs06610	0.49358	0
gcvb	pm_rs05700	0.49354	0
gcvb	pm_rs03190	0.49352	0
gcvb	pm_rs05775	0.49348	0
gcvb	pm_rs03265	0.49346	0
gcvb	pm_rs09085	0.49344	0
gcvb	prfc	0.49343	0
gcvb	pm_rs05560	0.49331	0
gcvb	pm_rs03055	0.4933	0
gcvb	pm1121	0.49326	0
gcvb	pm0310	0.4932	0
gcvb	artm	0.49317	0
gcvb	pm_rs02090	0.49315	0
gcvb	pm_rs06825	0.4931	0
gcvb	pm_rs02535	0.49309	0
gcvb	pm_rs08595	0.49307	0
gcvb	pm_rs05845	0.49306	0
gcvb	pm_rs04420	0.49305	0
gcvb	pm_rs01745	0.49301	0
gcvb	pm_rs02060	0.49297	0
gcvb	pm1841	0.49291	0
gcvb	rimo	0.49278	0
gcvb	pm_rs10140	0.49271	0
gcvb	pm_rs07690	0.49269	0
gcvb	pm_rs06995	0.49264	0
gcvb	pm_rs01120	0.49263	0
gcvb	pm_rs05025	0.49256	0
gcvb	pm_rs06535	0.49248	0
gcvb	pm_rs00180	0.4924	0
gcvb	pm_rs10410	0.49238	0
gcvb	fusa	0.49236	0
gcvb	ispf	0.49234	0
gcvb	pm_rs04850	0.49233	0
gcvb	pm_rs01040	0.49221	0
gcvb	pm_rs04175	0.4922	0
gcvb	pm_rs01210	0.49216	1
gcvb	pyrg	0.49211	0
gcvb	pm_rs09290	0.4921	0
gcvb	pm_rs01890	0.49209	0
gcvb	pm_rs04000	0.49202	0
gcvb	pm_rs00380	0.49189	0
gcvb	pm_rs06670	0.49184	0
gcvb	pm_rs08220	0.49178	0
gcvb	pm_rs08710	0.49175	0
gcvb	pm_rs05035	0.4917	0
gcvb	pm_rs09660	0.49162	0
gcvb	aspa	0.4914	0
gcvb	rpld	0.49132	0
gcvb	rplx	0.49128	0
gcvb	pm_rs06955	0.49122	0
gcvb	phea	0.49117	0
gcvb	pm_rs08430	0.49114	0
gcvb	pm_rs02080	0.49112	0
gcvb	pm_rs07040	0.49111	0
gcvb	pm_rs09275	0.49108	0
gcvb	pm_rs01010	0.49107	0
gcvb	pm_rs09035	0.49107	0
gcvb	pm_rs09605	0.49107	0
gcvb	fruk	0.491	0
gcvb	pm_rs00490	0.49099	0
gcvb	pm_rs09710	0.49099	0
gcvb	pm_rs00965	0.49079	0
gcvb	pm_rs05715	0.49078	0
gcvb	pm_rs03800	0.49077	0
gcvb	pm_rs09920	0.49074	1
gcvb	pm_rs05405	0.49071	0
gcvb	pm_rs06370	0.49071	0
gcvb	pm_rs06615	0.49063	0
gcvb	pm_rs02500	0.49058	0
gcvb	pm0654	0.49052	0
gcvb	pm_rs02985	0.49041	0
gcvb	pm_rs10280	0.49041	0
gcvb	pm_rs05470	0.49034	0
gcvb	pm_rs06065	0.49034	0
gcvb	pm_rs03745	0.49028	0
gcvb	hsca	0.49021	0
gcvb	pm_rs05635	0.49018	0
gcvb	pm_rs01460	0.49011	0
gcvb	pm_rs07530	0.49011	0
gcvb	pm_rs06430	0.49009	0
gcvb	pm_rs01130	0.49008	0
gcvb	glya	0.49005	0
gcvb	pm_rs02385	0.49001	0
gcvb	pm_rs07000	0.48997	0
gcvb	pm0682	0.48989	0
gcvb	pm_rs00970	0.48977	0
gcvb	pm_rs05330	0.48977	0
gcvb	pm_rs01895	0.48972	0
gcvb	pm_rs00395	0.48969	0
gcvb	pm_rs02110	0.48955	0
gcvb	pm_rs02875	0.48954	0
gcvb	pm_rs04335	0.48949	0
gcvb	rph	0.48935	0
gcvb	pm_rs10445	0.48928	0
gcvb	pm_rs06785	0.48926	0
gcvb	pm_rs03355	0.48925	0
gcvb	pm_rs08380	0.48923	0
gcvb	pm_rs03985	0.48922	0
gcvb	pm_rs05505	0.48919	0
gcvb	pm_rs06905	0.48918	0
gcvb	pm_rs02295	0.48908	0
gcvb	pm_rs04865	0.48908	0
gcvb	pm_rs04575	0.48907	0
gcvb	pm_rs08645	0.48905	0
gcvb	pm_rs03030	0.48903	0
gcvb	pm_rs07915	0.48902	0
gcvb	pm_rs08655	0.48899	0
gcvb	pm_rs01480	0.48892	0
gcvb	pm_rs03480	0.48889	0
gcvb	pm_rs03210	0.48887	0
gcvb	pm_rs04485	0.48887	0
gcvb	pm_rs06560	0.48884	0
gcvb	pm_rs07555	0.48882	0
gcvb	pm_rs07100	0.48881	0
gcvb	pm_rs03900	0.48877	0
gcvb	pm_rs05145	0.48875	0
gcvb	pm_rs08795	0.48869	0
gcvb	pm_rs02165	0.4886	0
gcvb	pm_rs05940	0.4886	0
gcvb	pm_rs00805	0.48856	0
gcvb	pm_rs05725	0.48855	0
gcvb	pm_rs10345	0.48851	0
gcvb	pm_rs04180	0.48847	0
gcvb	pm_rs09220	0.48844	0
gcvb	pure	0.48844	0
gcvb	pm_rs02935	0.48843	0
gcvb	pm_rs07590	0.4884	0
gcvb	pm_rs00985	0.48837	0
gcvb	pm_rs05495	0.4883	0
gcvb	pm_rs08160	0.4883	0
gcvb	pm_rs06460	0.48828	0
gcvb	pm_rs05785	0.48827	0
gcvb	pm_rs07575	0.48824	0
gcvb	pm_rs02930	0.4882	0
gcvb	pm_rs06595	0.4882	0
gcvb	pm_rs05235	0.48819	0
gcvb	pm_rs09245	0.48813	0
gcvb	mepa	0.48812	0
gcvb	pm_rs03470	0.48812	0
gcvb	pm_rs05735	0.48809	0
gcvb	pm_rs03655	0.48807	0
gcvb	pm_rs07985	0.48804	0
gcvb	pm_rs04765	0.488	0
gcvb	pm_rs05960	0.48795	0
gcvb	pm_rs06505	0.48794	0
gcvb	groel	0.48791	0
gcvb	pm_rs02540	0.48791	0
gcvb	pm_rs04215	0.48789	0
gcvb	pm_rs03575	0.48786	0
gcvb	pm_rs01880	0.48785	0
gcvb	pm_rs03280	0.48785	0
gcvb	pm_rs06490	0.48783	0
gcvb	pm_rs01955	0.48773	1
gcvb	pm_rs07680	0.48772	0
gcvb	pm_rs08780	0.48772	0
gcvb	pm_rs02380	0.48768	0
gcvb	pm_rs07845	0.4876	0
gcvb	pm_rs05255	0.48752	0
gcvb	pm_rs06450	0.48751	0
gcvb	pm_rs03305	0.48744	0
gcvb	pm_rs06480	0.48743	0
gcvb	pm_rs03225	0.48739	0
gcvb	pm_rs06300	0.48728	0
gcvb	pm_rs02740	0.48727	0
gcvb	pm_rs09320	0.48713	0
gcvb	glmu	0.4871	0
gcvb	pm_rs02490	0.48703	0
gcvb	pm_rs04260	0.48696	0
gcvb	pm_rs02735	0.48691	0
gcvb	pm1124	0.4869	0
gcvb	pm_rs01755	0.48682	0
gcvb	galm	0.48679	0
gcvb	pm_rs08930	0.48677	0
gcvb	pm_rs00005	0.48676	0
gcvb	pm_rs05690	0.48676	0
gcvb	pm_rs09470	0.48665	0
gcvb	pm_rs00365	0.4865	0
gcvb	pm_rs06010	0.4865	0
gcvb	pm_rs03050	0.48645	0
gcvb	pm_rs04350	0.48642	0
gcvb	pm_rs00500	0.4864	0
gcvb	pm_rs04675	0.48636	0
gcvb	pm_rs03670	0.48635	0
gcvb	pm0880	0.48626	0
gcvb	pm_rs02515	0.48622	0
gcvb	pm_rs09780	0.48618	0
gcvb	pm_rs06745	0.48616	0
gcvb	pm_rs00945	0.48604	0
gcvb	pm_rs01655	0.48584	0
gcvb	pm_rs09540	0.48584	0
gcvb	pm_rs02200	0.4858	0
gcvb	pm_rs06985	0.48577	0
gcvb	pm_rs01035	0.48572	0
gcvb	pm_rs07740	0.48572	0
gcvb	pm_rs08845	0.48569	0
gcvb	pm_rs09855	0.48567	0
gcvb	pm_rs04990	0.48554	0
gcvb	pm_rs07065	0.48549	0
gcvb	pm_rs06380	0.48547	0
gcvb	pm_rs03440	0.48534	0
gcvb	pm_rs00450	0.48524	0
gcvb	pm_rs07440	0.48521	0
gcvb	pm_rs07700	0.4852	0
gcvb	pm_rs06265	0.48513	1
gcvb	fumc	0.48508	0
gcvb	pm_rs02660	0.48506	0
gcvb	pm_rs08770	0.48497	0
gcvb	murb	0.48489	0
gcvb	pm_rs05055	0.48486	0
gcvb	rela	0.48485	0
gcvb	pm_rs05400	0.48475	0
gcvb	pm_rs07540	0.48457	0
gcvb	pm_rs05730	0.48456	0
gcvb	pm_rs09620	0.48449	0
gcvb	pm_rs10325	0.48449	0
gcvb	pm_rs10010	0.48448	0
gcvb	pm_rs08050	0.48446	0
gcvb	pm_rs09365	0.48443	0
gcvb	pm_rs02330	0.48442	0
gcvb	pm_rs07140	0.48437	0
gcvb	pm_rs08105	0.48436	0
gcvb	pm_rs05945	0.48426	0
gcvb	pm_rs06650	0.48426	0
gcvb	pm_rs08510	0.48418	0
gcvb	pm_rs09125	0.48412	0
gcvb	pm_rs09800	0.48412	0
gcvb	pm_rs06620	0.48411	0
gcvb	pm_rs08550	0.48409	0
gcvb	pm_rs00305	0.48406	0
gcvb	pm_rs03370	0.48402	0
gcvb	pm_rs08335	0.48399	0
gcvb	pm_rs01150	0.4839	0
gcvb	pm_rs09560	0.48379	0
gcvb	pm_rs04375	0.48373	0
gcvb	pm_rs02755	0.48371	0
gcvb	pm_rs06770	0.4837	0
gcvb	pm_rs08415	0.48368	0
gcvb	pm_rs05780	0.48364	0
gcvb	pm_rs02100	0.4836	0
gcvb	pm_rs08200	0.4836	0
gcvb	rpsf	0.4836	0
gcvb	pm_rs00865	0.48359	0
gcvb	pm_rs07635	0.48358	0
gcvb	pm_rs03415	0.48347	0
gcvb	pm_rs07665	0.48343	0
gcvb	pm_rs09015	0.48338	0
gcvb	pfla	0.48335	0
gcvb	pm_rs10425	0.48327	0
gcvb	pm_rs02070	0.48326	0
gcvb	pm_rs00775	0.48325	0
gcvb	pm_rs04875	0.48309	0
gcvb	pm_rs00550	0.48306	0
gcvb	pm_rs08715	0.48303	0
gcvb	arok	0.48301	0
gcvb	pm_rs07255	0.48297	0
gcvb	purh	0.48295	0
gcvb	pm_rs03710	0.48293	0
gcvb	pm_rs01945	0.48291	0
gcvb	pm_rs04690	0.48291	0
gcvb	pm_rs04945	0.48291	0
gcvb	pm_rs04365	0.4829	0
gcvb	pm_rs03630	0.48289	0
gcvb	pm_rs04135	0.48288	0
gcvb	pm_rs08080	0.48288	0
gcvb	pm_rs10175	0.48274	0
gcvb	pm_rs04070	0.4827	0
gcvb	pm_rs10210	0.48256	0
gcvb	pm_rs03395	0.48247	0
gcvb	znua	0.48247	0
gcvb	pm_rs05325	0.48246	0
gcvb	pm_rs09745	0.48241	0
gcvb	pm_rs00405	0.48238	0
gcvb	pm_rs06685	0.48238	0
gcvb	pm_rs06110	0.48235	0
gcvb	pm_rs00125	0.48234	0
gcvb	pm_rs07570	0.48234	0
gcvb	glmm	0.48233	0
gcvb	pm_rs08055	0.48231	0
gcvb	pm_rs08530	0.48228	0
gcvb	pm_rs03820	0.48223	0
gcvb	ubif	0.48214	0
gcvb	pm_rs06105	0.48211	0
gcvb	pm_rs10400	0.4821	0
gcvb	pm_rs06240	0.48207	1
gcvb	pm_rs00090	0.482	0
gcvb	mukb	0.48197	0
gcvb	pm_rs05445	0.48193	0
gcvb	pm_rs01775	0.48187	0
gcvb	pm_rs09965	0.48184	0
gcvb	pm_rs04165	0.48176	0
gcvb	pm_rs03665	0.48172	0
gcvb	pm_rs00990	0.48171	0
gcvb	pm_rs05070	0.4817	0
gcvb	nrff_1	0.48166	0
gcvb	pm_rs05990	0.48165	0
gcvb	pm_rs02180	0.48164	0
gcvb	pm_rs06875	0.48159	0
gcvb	pm_rs02185	0.48157	0
gcvb	pm_rs10100	0.48155	0
gcvb	pm_rs08075	0.48154	0
gcvb	pm_rs07840	0.48153	0
gcvb	pm_rs04085	0.48148	0
gcvb	pm_rs07795	0.48144	0
gcvb	pm_rs00635	0.4813	0
gcvb	rplt	0.48121	0
gcvb	pm_rs04320	0.48116	0
gcvb	pm_rs06070	0.48115	0
gcvb	pm_rs08440	0.48109	0
gcvb	pm_rs07955	0.48107	0
gcvb	pm_rs08810	0.48106	0
gcvb	pm_rs09200	0.48105	0
gcvb	pm_rs02725	0.48102	0
gcvb	pm_rs01640	0.481	0
gcvb	pm_rs06795	0.48093	0
gcvb	pm_rs04460	0.48088	0
gcvb	pm_rs10025	0.48086	0
gcvb	pm_rs07510	0.48072	0
gcvb	pm_rs09240	0.48067	0
gcvb	pm_rs08210	0.48064	0
gcvb	pm_rs06385	0.48059	0
gcvb	pm_rs08140	0.48058	0
gcvb	pm_rs06350	0.48054	0
gcvb	pm_rs04790	0.48048	0
gcvb	pm_rs05630	0.48042	0
gcvb	pm_rs07085	0.48041	0
gcvb	pm_rs01410	0.48037	1
gcvb	pm_rs10200	0.48037	0
gcvb	pm_rs04555	0.48033	0
gcvb	pm_rs07045	0.48032	0
gcvb	pm_rs01085	0.48029	0
gcvb	pm_rs05710	0.48027	0
gcvb	pm_rs01020	0.48023	0
gcvb	pm_rs09795	0.48021	0
gcvb	lldd	0.48017	0
gcvb	lpxd	0.48014	0
gcvb	pm_rs09190	0.48013	0
gcvb	pm_rs06435	0.48009	0
gcvb	pm_rs03960	0.48004	0
gcvb	pm_rs10215	0.48004	0
gcvb	pm_rs00750	0.47994	0
gcvb	pm_rs07070	0.47992	0
gcvb	pm_rs01600	0.47989	0
gcvb	pm_rs07025	0.47986	0
gcvb	glga	0.47984	0
gcvb	pm1972	0.47981	0
gcvb	pm_rs08435	0.47977	0
gcvb	pm_rs06950	0.47976	0
gcvb	pm_rs05220	0.47975	0
gcvb	acef	0.47971	0
gcvb	glna	0.47962	0
gcvb	gyrb	0.47958	0
gcvb	pm_rs06360	0.47951	0
gcvb	pm_rs02055	0.47947	0
gcvb	pm_rs06005	0.47936	0
gcvb	srle	0.47932	0
gcvb	pm_rs05535	0.47926	0
gcvb	pm_rs08940	0.47926	0
gcvb	pm_rs04450	0.4792	0
gcvb	pm_rs03785	0.47915	0
gcvb	seca	0.47914	0
gcvb	pm_rs01715	0.47903	0
gcvb	pm_rs04275	0.47899	0
gcvb	pm1937	0.47899	0
gcvb	pm_rs05805	0.47896	0
gcvb	pm_rs08425	0.47896	0
gcvb	pm_rs07745	0.47893	0
gcvb	pm_rs05680	0.4789	0
gcvb	pm_rs08410	0.47882	0
gcvb	pm_rs09270	0.47882	0
gcvb	pm_rs08580	0.47878	0
gcvb	pm_rs04155	0.47867	0
gcvb	pm_rs09925	0.47864	0
gcvb	pm_rs03035	0.47861	0
gcvb	pm_rs09550	0.47854	0
gcvb	pm_rs01785	0.47852	0
gcvb	pm_rs02890	0.47841	0
gcvb	pm_rs06740	0.4784	0
gcvb	pm_rs09010	0.4784	0
gcvb	trmd	0.47839	0
gcvb	nusa	0.47838	0
gcvb	pm_rs00270	0.47833	0
gcvb	pm_rs06080	0.47832	0
gcvb	pm_rs09030	0.47805	0
gcvb	pm_rs00620	0.47801	0
gcvb	pm_rs06200	0.47792	0
gcvb	pm_rs07730	0.4779	0
gcvb	pm_rs08385	0.47789	0
gcvb	pm_rs09170	0.47785	0
gcvb	pm_rs08395	0.47778	0
gcvb	pm_rs08815	0.47776	0
gcvb	pm_rs05500	0.47775	0
gcvb	ycan	0.47774	0
gcvb	pm_rs09990	0.47772	0
gcvb	pm_rs04480	0.47769	0
gcvb	pm_rs09635	0.47765	0
gcvb	pm_rs03405	0.47763	0
gcvb	pm_rs10090	0.47761	0
gcvb	pm_rs06040	0.4776	0
gcvb	pm_rs05280	0.47758	0
gcvb	pm_rs00390	0.47756	0
gcvb	pm_rs09875	0.47754	0
gcvb	pm_rs01575	0.47747	0
gcvb	fmt	0.47744	0
gcvb	pm_rs03825	0.47744	0
gcvb	hslu	0.47742	0
gcvb	pm_rs04020	0.47738	0
gcvb	pm_rs09995	0.47733	0
gcvb	pm_rs09820	0.47725	0
gcvb	pm_rs01705	0.47721	0
gcvb	pm_rs06320	0.47716	0
gcvb	pm_rs00735	0.47713	0
gcvb	pm_rs04995	0.47709	0
gcvb	pm_rs07505	0.47708	0
gcvb	pm_rs07805	0.47705	0
gcvb	pm_rs03045	0.47702	0
gcvb	pm_rs05550	0.47696	0
gcvb	pm_rs08575	0.47696	0
gcvb	pm_rs04670	0.47695	0
gcvb	pm_rs05625	0.47684	0
gcvb	pm_rs08675	0.47681	0
gcvb	pm_rs09425	0.47678	0
gcvb	pm_rs08935	0.47669	0
gcvb	pm_rs09845	0.47666	0
